Sentence,English Translation, Labels
মোর একটা নতুন কাম শুরু হয়েছে,I’ve started a new job.,Narail
আমি ইতিহাস পড়তে গ্যাছিলাম,.I was going to study history.,Narail
মুই আমু না,I won’t come.,Barisal
আমাকে আপনার অভিজ্ঞতা বল,Tell me your experience.,Khulna
তুই কি এই গান সুনিচি,Have you heard this song?,Khulna
ডাং খাবার না চাইস,are you looking to get beaten or what,Rangpur
মোর দিকে একটু মনোযোগ দিন,Pay some attention to me.,Narail
হায় কতো বড় ভুল করলাম,Oh! What a big mistake I made!,Narail
মোরে বোলাইবেন না,Don’t call me.,Barisal
তুই যে ভালো গান গাস,You sing well.,Khulna
তুমি সবসুমাই পেঁচাই করিস,You always twist things.,Khulna
মুই বাড়ী যাইম,I’m going home.,Rangpur
হে হ্যার লক্ষ্য অর্জনের লইগ্যা কঠোর পরিশ্রম হরছে,He is working hard to achieve his goals.,Barisal
ওয় খুব ভালে নাচে,He/She dances very well.,Rangpur
এই গানডা আমার ফিয়ো,This song is my favorite.,Narail
বৃষ্টির পানিতে সব রাস্তা ডুইবা গেছে,All the roads are flooded with rainwater!,Khulna
আইজকে একটু বেশি ঠান্ডা লাগছে,I feel a little cold.,Narail
সে এসেছে গাং থেকে পানি নিতে,He has come to get water from the river,Narail
তাড়াতাড়ি আয়,Hurry up.,Khulna
তোমাক তো বাহে অস্কার দিবার নাগবে,You should be given an Oscar.,Rangpur
গবেষণা প্রকাশ করলাম,I published the research.,Narail
অয় প্রতিদিন বিয়ানে দৌড়ায়,He runs every morning.,Rangpur
তুই কি ব্যস্ত আছিস,Are you busy?,Rangpur
চেয়ার কোনা নিয়া আয়,Bring the chair.,Rangpur
এটা ভুলি যা,Forget it.,Rangpur
বিলাসপুর জেলে দিন অনশন করেছিলো,He went on a hunger strike for days in Bilaspur jail.,Narail
সে টেকনিশিয়ান আছিলো,He was a technician.,Narail
প্রতিদিন শুধু পানি হইতিছে মোদের এইহানে,Every day water is rising there,Narail
তোমার কি পছন্দের টিভি শো ভাল্লাগে,Do you have a favorite television show?,Barisal
রোংপুইর্রা ভাষায় কি মোগো পাশ নোম্বার দেওন যায়,Can we give our pass number in Rangpuri language now?,Barisal
কাম শ্যাষ হইলে মোরে কইও,Tell me when it's done.,Barisal
সাথে সাথে হামার সংস্কৃতির মানষি গুলাও বিভিন্ন জাগাত ছড়ি ছিটি গেইছে,"At the same time, the people of our culture have also scattered to different places.",Rangpur
