Standard_Bangla,dialect_speech,English_translation
আমার খিদে পেয়েছে,আমার খিদা পাইসে,I'm hungry
তোমাকে একটা উপহার দিতে চাই,তোমারে একটা উপহার দিতাম চাই,I want to give you a gift
"নোংরা রাজনীতি, ঘৃণা করি","নোংরা রাজনীতি, ঘৃণা করি",I hate dirty politics.
বড়ো বোন কিছু পেয়ারা কিনল,বড় বইন কিসু পেয়ারা কিনল,Elder sister bought some guavas
বড়ো বোনের জন্য কিছু পেয়ারা কিনল,বড় বইনের লাইজ্ঞা কিসু পেয়ারা কিনল,Bought some guavas for elder sister
লক্ষ্য ঠিক করে আমরা জীবনে এগিয়ে যেতে পারি,লক্ষ্য ঠিক কইরা আমরা জীবনে আগায়া যাইতাম পারি,By setting goals we can move forward in life
সামনে কোরবানি ঈদ আসছে,সামনে কোরবানি ঈদ আইতাসে,Eid al-Adha is coming
!ব্যাবসায়ী মাদার** কতো খারাপ যে বিশেষ করে ঢাকার এগুলো হয়তো আমরা সবাই কম বেশি ভুক্তভোগীর স্বীকার !,!ব্যাবসায়ী মাদার** কতো খারাপ যে বিশেষ কইরা ঢাকার এইডি হয়তো আমরা সবাই কম বেশি ভুক্তভোগীর স্বীকার !,"Business with Mother (likely referring to a specific company or brand named 'Mother') is so bad, especially in Dhaka – I think many of us have experienced problems with them to some extent!"
"অভশেশে টোকাই সাংবাদিক গোষ্ঠী আসল খবর ফাস করলো ইহা বিম্পির কাজ""""
বিম্পি একরাত এইরকম কাম করতে পারলেই তো ক্ষমতায় বসতে পারতো","""অভশেশে টোকাই সাংবাদিক গোষ্ঠী আসল খবর ফাস করলো ইহা বিম্পির কাজ""""""""বিম্পি একরাইত এইরুম কাম করবার পাইলেই তো ক্ষমতায় বইতে পারতো""","Finally, the Tokai Journalists' Group revealed the real news – this is Bimpy's work.
Bimpy could have easily come to power if he had done such work for just one night."
"আবার দাম বৃদ্ধি, দেশের মানুষ কি করবে?
 ।","""আবার দাম বাড়ছে—দেশের মাইনসে কি করবো?!""","Another price increase, what will the people of the country do?"
"আমরা দেশের উন্নয়ন চাই না,
 আমরা পরিবারের উন্নয়ন চাই","""আমরা দেশের উন্নয়ন চাই না, আমরা পরিবারের উন্নয়ন চাই""","We don't want national development, we want the development of our families."
"আসলে কি হচ্ছে?
 কোথায় ধাবিত হচ্ছি আমরা।
 পেয়াজের কাজ না হয় মূলা দিয়ে সারানো যায় 
 তেলের কাজ তো আর পানি দিয়ে হয় না","""আসলে কি হইতাছে ?কোইনে ধাবিত হইতাছি আমরা।পেয়াজের কাজ না হয় মূলা দিয়ে সারানি যায় তেলের কাম তো আর পানি দিয়া হয় না""","What is actually happening? Where are we heading? Onions can be substituted with radishes, but you can't fix an oil problem with water."
"এটাই হবার কথা ছিলো!
কোনো কোনো ছাত্র নামক বাদাইম্মা বলছিলো এখানে রাজনীতি ছিলোনা,এটা ছিলো সাধারণ জনগণের পক্ষে ছাত্রদের আন্দোলন। অথচ স্পষ্ট ভাবে বোঝা যাচ্ছে সব রাজনৈতিক খেলা।পুরো ঘটনার সাথে ছাত্রলীগ জড়িত হলেও মামলার প্রধান আসামি ছাত্রদলের নেতা!","""এইডাই অইবার কতা আছিন! কুনু কুনু ছাত্র নামক বাদাইম্মা কইছিলো এইনে রাজনীতি আছিন-না,এডা আছি-ন সাধারণ জনগণের পক্ষে ছাত্রদগর আন্দোলন অথচ ফকফকা কইরা বুঝা যাইতাছে বেক রাজনৈতিক খেইল।পুরা গটনার লগে ছাত্রলীগ জড়িত অইলেও মামলার প্রধান আসামি ছাত্রদলের নেতা!""","This is exactly what was supposed to happen! Some students, rather foolishly, were claiming there was no politics involved here, that it was simply a student movement on behalf of the general public. Yet, it's clearly visible that it's all a political game. Although the entire incident involves the Chhatra League, the main accused in the case is a leader of the Jatiyatabadi Chhatra Dal (student wing of BNP)!"
"একক নিউজ দেখে আসছেন লজ্জিত হতে।
কেমন ডিসিয়ান আপনি আল্লাহ ভালো জানেন।","""একক নিউজ দেইক্ষা আইছুইন লজ্জিত ওইতে ।কিরুম ডিসিয়ান আমনে আল্লাহ ভালা জানে","You are watching the news and feeling ashamed. How devoted you are to religion, Allah knows best."
"কাকে বিশ্বাস করবো
কে ভাল কে খারাপ
আল্লাহ্ তুমি সত্য
তোমার হাতে ই সব ক্ষমতা","""কারে বিশ্বাস করবাম কেডা ভালা কেডা খারাপ আল্লাহ্ তুমি সত্য তোমার হাতে ই বেক ক্ষমতা""","Whom should I trust?
Who is good and who is bad?
Allah, You are the Truth.
Everything is in Your hands."
"চলছে লড়াই চলবে,
মুজিব বাহিনী লড়বে ৷","""চলতাছে লড়াই চলব মুজিব বাহিনী লড়ব৷""","The fight continues, it will go on,
The Mujib Force will fight."
"চোখ বুজে থাকবে
 হা করে গিলবে++","""চোখ বুজা থাকবো… হা কইরা গিলুম++""","Will remain with eyes closed,
Will swallow gaping++"
"জনজীবন সত্যিই বিপর্যস্ত ।
 সাধারণ মানুষ থেকে শুরু করে সরকারি কর্মচারীরা আরো বেশি অসহায় । ২০১৫ সালে সরকার পে- স্কেল দিয়েছিল, দীর্ঘ ৭ বছরে জিনিসপত্রের দাম বেড়েছে দ্বিগুণ থেকে তিনগুণ । না, এভাবে আর চলা যায় না ।","""জনজীবন একদম বিপর্যস্ত। সাধারণ মাইনসে থেইকা শুরু কইরা সরকারি কর্মচারী—সবাই অসহায়। ২০১৫ সালে যে পে-স্কেল দিছিল, এখন ৭ বছরে দাম বেড়েছে দুইগুণ তিনগুণ। এইভাবে আর চলবো কেমনে?""","Normal life has truly been disrupted. From the general public to government employees, everyone is feeling increasingly helpless. The government gave a pay scale in 2015, but in the past seven years, the prices of goods have doubled or even tripled. This is no longer sustainable."
"ডিজিটাল বাংলাদেশ প্রতি কেজি তৈল মাএ
 ১৭০ টাকা","""ডিজিটাল বাংলাদেশ—প্রতি কেজি তেল মাত্র ১৭০ টেহা!""",Digital Bangladesh: Only 170 Taka per kg of oil.
"""ঢাকা কলেজ ঢাকার ভিতর চাই না""","""ঢাকা কলেজ ঢাকার ভিত্তে চাই না""",We don't want Dhaka College within Dhaka city.
"তেল ছাড়া ১০ প্রকার রান্না জানি
 সমস্যা হবে না আপনারা চালিয়ে যান","""তেল ছাড়া ১০ রকম রান্না জানি। সমস্যা হইবো না—আপনারা চালাইয়া যান।""","I know 10 recipes without using oil. No problem, you can proceed."
