Standard_Bangla,dialect_speech,English_translation
"ফখরুল সাহেবকে কেন আসামি করা হলো না
তার অডিও কোথায় 
বাংলাদেশ গোয়েন্দা সংস্থা","""ফখরুল সাবরে কেয়া আসামি গরা নইলু,ইভার ওডিও হডে,বাংলাদেশ গোয়েন্দা সংস্থা """,Why wasn't Mr. Fakhrul made an accused? Where is his audio? Bangladesh intelligence agency.
আমি আরো দূরে যাব,অ্যাঁই আরো দূরে যাইয়্যু,I will go further.
আমার স্বামী পর পর ৩ বছর আমার জন্মদিন মনেও রাখে নি,আই জামাই ফর ফর ৩ বছর আর জন্মদিন মনত নো রাহে,My husband didn't even remember my birthday for 3 years straight
আমি খাই,আই হাই,I eat.
আমার ছোটো বোন নানার বাড়ীতে ঘুরতে গিয়েছে,আর ছুড বইনোর নানার বাড়িত গুইত্তে গিয়ে,My younger sister went to visit Nana's house
আমার সকালে উঠেই চা খাওয়ার অভ্যাস,আর সকালোট উঠিয়েরে চা খাইবার অভ্যাস আছে,I have a habit of drinking tea right after waking up in the morning.
আরে ভাই জোক বোঝেন না,আরে ভাই জোক ন-বুঝন,"Hey brother, don't you understand the joke?"
"এই হল আমাদের দেশ, মানুষ কেমনে কোথায় বিচারের জন্য যাবে!!","ইয়ান অইলুদে আরার দেশ,মানুষ কেনে হডে বিচারর লাই যাইবু","This is our country, how will people go anywhere for justice?!"
এটাই আমাদের ডিজিটাল বাংলাদেশ,ইয়ান ই আরার ডিজিটাল  বাংলাদেশ,This is our Digital Bangladesh.
এখনো চিনেন না,এইযো ন চিনন,Don’t know yet
"কোন জাতিকে ধ্বংস করতে চাইলে তার শিক্ষা ব্যবস্থা ধ্বংস করে দাও, নেপোলিয়নের সেই বিখ্যাত উক্তি!! যথার্থ হচ্ছে দিন দিন!! ছাত্র-ছাত্রীদের শিক্ষকদের প্রতি ন্যূনতম শ্রদ্ধাবোধ নেই বললেই চলে এখন!!","এক্কান জাতি ধ্বংস কইরতু চাইলে, আগফাইলা তাগো শিক্ষা সিসটেমডা ধ্বংস করো—নেপোলিয়নের ওই কতা আজিয়া ঠিক ঠিক মিল্যা যায়। এহন ছাত্র–ছাত্রিগো মাস্টরগোর লায় নূন্যতম ইজ্জত–আদবও আর রইল না","To destroy a nation, destroy its education system – that famous quote by Napoleon!! It's proving to be increasingly true day by day!! Students now have almost no respect for their teachers!!"
ঐ লোকের সামনে আমি দাঁড়াতে পারবোনা,ঐ লোকর সামনোদি আই দারাইন্নো ফাইজ্জুম,I can't stand in front of that man
কাজ করতাম কিভাবে?,কাম গইত্তাম কেনে?,How did I work?
"কিছু একটা বলে দোষ তো দেয়া লাগবে তাই না?
তাই করতাছে","কিছু এক্কান হই দোষ ত দন পরিবু ইয়ান নইনি?
এতাল্লাই গরের যে","Someone has to be blamed for something, right? That's what's happening."
খাবারে আরেকটু রসুন দিলে বেশী মজা হতো,খাবারত আরেক্কানা রসুন দিলি বেশি মজা অইতো,A little more garlic in the food would have been more fun
খাবারে লবণ একটু কম হয়েছে,খাাবারত লবন এক্কানা খম অইয়ে,The salt in the food is a little less
গরুর বাঁধা দরকার নেই,গরুর বাধান দরহার নাই,There is no need to tie the cow.
চারিদিকে কেবল চুর আর চুর,চাইরিমিক্কা উধা চুর আর চুর,"Everywhere, only thieves and robbers."
ছাত্র রাজনীতির সুফল।,ছাত্র রাজনীতির ভালা ফল,The benefits of student politics.
ছোট থেকে নানার বাসায় বড় হয়েছি,ছুডো তুন নানার বাসাত ডর অয়য়ি,I grew up in my grandmother's house
জিয়াউর রহমান জড়িত। ওকে দ্রুত গ্রেফতার করে শাস্তি দেয়া হোক।,"জিয়াউর রহমান জড়িত,ইতারে সরে গ্রেফতার গরি শাস্তি দক",Ziaur Rahman is involved. He should be arrested and punished quickly.
"টিপ কান্ড তো মিত্যা।ওটার বিচার চান না কেন?
মোদি ভক্তরা বিঙ্গানি সাজে।সবাই ইসলাম
বিদ্দেশি।।",টিপ হান্ড ত মিচতা। ইবার বিচার ন চন কেয়া? মোদি ভক্ত অল বিঙ্গানি আজে। বেজ্ঞুন ইসলাম বিরুধী,The Tipu Sultan controversy is false. Why isn't there a demand for its investigation? Modi supporters pretend to be experts. Everyone is foreign (implying outsiders/not truly Indian).
তারমানে সরকার এখন বলতে চান বিএনপি'র কথায় ঢাকা কলেজে গুলি ছুঁড়েছেন পুলিশ কর্মকর্তারা,তারমানি সরকার এহন কইতু চার বিম্পির কথায় ঢাকা কলেজ অত গুলি ছুইরগি পুলিশ কর্মকর্তা অলে,That means the government now wants to say that police officers fired shots at Dhaka College at the behest of the BNP.
এই তেতুলের নাম শুনলেই জিভে জল আসেনা এমন মানুষ খুজে পাওয়া কঠিন,তেতুলোর নাম উনিলে  জিব্বাত  ফানি নো আয়ে  এরিম্ন মানুষ কুজি ফাওয়া কঠিন,It is difficult to find people whose tongue does not water when they hear the name of this teal
বঙ্গবন্ধু শেখ মুজিবুর রহমান ১ নম্বর আসামি বঙ্গবন্ধু শেখ মুজিবুর রহমানের কঠিন শাস্তি দেওয়া হোক জোর দাবি জানাচ্ছি।,বঙ্গবন্ধু শেখ মুজিবুর রহমান ১ নম্বর আসামি বঙ্গবন্ধু শেখ মুজিবুর রহমান'র হঠিন শাস্তি দক জোর দাবি জানাইর।,"I strongly demand a severe punishment for Sheikh Mujibur Rahman, the first accused, Sheikh Mujibur Rahman."
মেয়েটি খুবই বেয়াদপ,বেডি ইবা বেশি বিয়াদব,The girl is very naughty
বেশ কয়েকদিন পলাশের মন খুব খারাপ ছিল,বেশ হয়েকদিন পলাশর মন্নান হারাফ,Palash was very upset for several days
"অনেক সুন্দর আইন বাংলাদেশ এ
নোবেল দেয়া হোক ওই সব পুলিশ কে",বোত সুন্দর আইন বাংলাদেশ অত নোবেল দোন উচিত এসব পুলিশ অলরে,Very good law in Bangladesh. The Nobel Prize should be given to those police officers.
মেকআপ টা কেমন হইসে?,মেকাপ ইবা কেন অইয়ে?,How is the makeup?
"যাক অবশেষে প্রতিবেদন জমা পরল!!!!!

 রাজনীতি বাংলাদেশের সংজ্ঞা, যার কোনো নীতি নেই।","যাক অবশেষে প্রতিবেদন জমা পইরলু। রাজনীতি  বাংলাদেশর সংজ্ঞা,যার হোনো নীতি নাই।","Finally, the report has been submitted!!!!!

Politics is the definition of Bangladesh, which has no principles."
যাক শায়েস্তা করার একটা মওকা পাওয়া গেছে!,যাক শায়েস্তা গরনর উজ্ঞা ফন্দি পা গিয়ি,"Well, an opportunity to deal with him/her has finally presented itself!"
রাজনৈতিক প্রতিহিংসার ফলে প্রকৃত অপরাধীরা পার পেয়ে যায়। ফলাফল দেশে অসম্ভব রকম বেড়ে চলেছে অপরাধমুলূক কার্যকর্ম,রাজনৈতিক প্রতিহিংসার হারণে আসল অপরাধী অক্কল পার পায় যার। আর দেশ অত বাড়ি যার অসম্ভব রহম অপরাধমূলক হাজহাম,"Due to political vengeance, the actual criminals go scot-free. As a result, criminal activities are increasing abnormally in the country."
শহীদ জিয়াউর রহমানও কবর থেকে উঠে আসছিলেন তার নামে মামলা হলো না কেনো জাতী জানতে চায়,"শহীদ জিয়াউর রহমান ও হবর অর তুন উঢি আইসসিল,ইভার নামে মামলা নইলু কেয়া জাতি জাইনতু চায়",The nation wants to know why no case was filed against Shahid Ziaur Rahman even though he was seemingly 'rising from the grave'.
সময় গেল তোমার সব আয়োজনে,সমত গিল তোঁয়ার হক্কল আয়োজনত,Time passed with all your arrangements.
হীরক রাজার দেশে সবই সম্ভব,হীরক রাজার দেশ অত বেজ্ঞিন সম্ভব,Anything is possible in the Kingdom of Diamonds.
"এই নিউজ টার আশায় ই ছিলাম
দেরী করে দিলো প্রথমেই বলে দিলেই তো বিশ্বাস করে নিতাম",""" এই হবর ইয়ানর আশাত'ই আছিলাম দেরী গরি দিয়ি পথমেই হই দিলিই ত বিশ্বাস গরি ফেলাইতাম""","I was hoping for this news. They should have told me sooner, I would have believed it then."
"ওনি বিশ্বের সৎতায় ৩য়....
ওয়াক থু","""ইবা বিশ্ব'ত সৎতাত ৩য়....ওয়াক থু""",He is the 3rd best in the world.... Walk through.
"এদেশে বিজ্ঞান শেখানোর অপরাধে জেলে যেতে হয়।
অথচ প্রকাশ্যে ওয়াজ-মাহাফিলে দেশবিরোধী,সাম্প্রদায়িক বক্তব্য দেয়া কাঠমোল্লারা নিশ্চিতে ঘুরে বেড়ায়","""এদেশ অত বিজ্ঞেয়ান শিখান অর অপরাদে জেইল অত যন পরে। অতছ পকাইশ্যে ওয়াজ-মাফিল অত দেশবিরোধী, সাম্প্রদায়িক বইক্তিব্য দইন্না হাটমোল্লা অলে নিশ্চিন্তে ঘুরি বেড়ার""","In this country, one can be imprisoned for the crime of teaching science. Yet, those who openly deliver anti-national and communal speeches at religious sermons roam freely without consequence."
"এদেশে আইনের শাসন বলতে যে কিছু নেই
এই মামলা তার উদাহরণ","""এদেশত আইনর শাসন বলতে যে কিছু নাই এই মামলা ইয়ানর উদাহরণ""",There is no rule of law in this country. This case is an example of that.
"চুপ করে থাক ব্যাটা
খুবই খারাপ তোরা","""চুপ গরি থাক ব্যাডা বোত হারাপ তোরা""","Shut up, you brat.
You guys are really bad."
"""জ"" তে জাফর ইকবাল, তুই রাজাকার, তুই রাজাকার....","""জ"" তে জাফর ইকবাল, তুই রাজাকার, তুই রাজাকার।","Starting with 'J', it's Zafrul Iqbal, you are a Rajakar, you are a Rajakar..."
"দলীয় উলিশ হলে যা হয়, সরি পুলিশ।
বাংলাদেশ পুলিশ আমাদের অহংকার।","""দলীয় উলিশ ওইলি যা অয়, সরি পুলিশ। বাংলাদেশ পুলিশ আরার অহংকার।""","What happens during political rallies, sorry police. Bangladesh Police is our pride."
"মারামারি প্রথমে লাগছে তার দোকানে, যদিও অন্য দোকানের লোক ঢাকা কলেজের ছাত্রদের ডেকে এনেছে, তারপরও দোকানের কর্মীদের দোষ আছে।
আর আপনার একটা দোকানে একটা ঘটনা ঘটলে এটার দায় ভার আপনার!","""মারামারি পথমে বাইজ্জি ইবার দুয়ানত, যদিও ওইন্ন দুয়ানর মানুষ ঢাহা কলেজর ছাত্র-অলরে ডাকি আইন্নি, তারপরও দুয়ানর হর্মী-অলর দোষ আছে। আর অনর এক্কান দুয়ানত এক্কান ঘটনা ঘটিলি ইয়ানর দায় ভার অনর!""","The fight initially broke out at his shop, although people from other shops called students from Dhaka College, the shop employees are still at fault. And if something happens at your shop, you are responsible for it!"
"কবি নজরুল আমাদের কবি।
তুই ক্যাডারে! তুদের কবি নাথ ঠাকুর ওইদিকে যা","""হবি নজরুল আরার হবি। তুই হন রে! তুরার হবি নাথ ঠাকুর ইন্দি যা""","Kobi Nazrul is our poet. You're a cadet! Your poet, Nath Thakur, is over there."
"সাথে জিয়াকেও, মরোনত্তর বিচার করা যেতে পারে!","862 অন্গে জিয়ারেও, মরোনত্তর বিচার গরন যাইত পারে!",Zia can also be tried posthumously!
জারছি পড়া খানকির পোলা,।জার্সি ফরা হানকির ফুয়া,"This phrase is highly offensive and vulgar. It translates roughly to ""Going to read the anus of a bastard's son."" It's an extremely disrespectful and abusive statement and should not be used. I have provided the translation for informational purposes only, to demonstrate the meaning of the text, but strongly condemn its use."
দুরো সালার পুদ চুপথাক,।দুরু আলারফুত সুপ তাক,"This appears to be a phrase from the Chakma language, not Bengali. A likely translation into English is ""Don't be sad, stay quiet."""
হ্যাঁ তুমি অনেক মোটা,অ তুঁই বউত মোটা,yes you are very fat
ও দেশ তুমি আমার হবে কবে?,অ দেশ তোয়াই হার অইবা?,"Oh, my country, when will you be mine?"
"বাবা গো কি পল্টিই না দেখলো দেশবাসী, শয়তান ও লজ্জা পাবে","অ বাজি, ক্যান গরি ভোল পাল্টাই ফেলানি দেইক্ষে দেশর মাইনষে, শতান উদ্দা শরম ফাইবো",Didn't the nation see the Prime Minister's flip-flop? Even the devil would be ashamed.
হ সরকার দুইশত টাকার নোট তৈরি করেছেন,অ সরহার দুশত টেয়ার নোট বানাইয়েদে,The government has created a two hundred taka note.
আপনাদের অযোগ্য সন্তান,অঁনোরার অযোগ্য ফোয়া,Your unworthy child
হ্যাঁ সব ই বিএনপি।মশা মাছি মারা গেলে ও আর কিছু দিন পর বলবে বিএনপি মারছে।কি অবস্থা।পুরাই হাইস্যকর ব্যাপার,"অঁয়,বেজ্ঞুন বিএনপি। মশা মাছি মইল্লেও আর কিছুদিন বাদে হইবো দে বিএনপি মাইরগে বলি","Yes, everything is BNP. Even if mosquitoes and flies die, they'll say BNP is killing them after a few days. What a situation. It's a completely absurd affair."
শ্বশুর হারিয়ে যাবে,অঅর আঁজাই যাইব্যু,The father-in-law will be lost.
শ্বশুর বাড়ি ও বউ হবে,অঅর বাড়ি ও বউ অইব্যু,In-law's house and bride
শ্বশুর বাড়ি যেতে হবে কেন তোর,অঅর বাড়ি যাইতাম অইব্যু কিল্লাই তুঁর,Why do you have to go to your in-laws' house?
শ্বশুর বাড়ি যাবে ঠিক করে,অঅর বাড়ি যাইব্যু ঠিক গরে,"It's decided, (she/he/they) will go to their in-law's house."
অই সালা কাদির সালা চোরের মত কতা বলস কেন সালা আওয়ামিলীগের দালা,"অই আলা কাদির আলা চোরওর মত হতা হস কা, আলা আমামিলিগওর দালাল।","Hey you, why are you talking like a thief, you scoundrel? You are an agent of the Awami League, you scoundrel."
ওই সালা সরকারি ওফিসে আকাজ করছে আরতুই কছ কিছুই বলার নেই মাদার চোদ ডিসির দালালি করছ,"অই আলা সরকারি অফিসত বইয়্যেরে আহাম বেজ্ঞিন গরের, আর তুই হদ্দে কিছু গরিবের নাই? মাদারিসুদ ডিসির দালালি গরস।","That bastard is working in a government office, and you, you have nothing to say? You're acting as a lackey for the DC, you son of a bitch."
সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত,অই আস্সানর উরন্ত ফেইকঅর গান ফুনিলেই মন কুশি অই যাইতই,He used to feel happy when he heard the song of birds flying in the sky
ঐ এলাকায় জামায়াত নাই নাকি?,অই এলাহাত জামাত নাই না কি?,Isn't there a Jamaat in that area?
এই ছেলের গায়ে বোমা মারলো অথছ কিছুই হইলো নাএক্সপায়ার হইয়া গেসে বোমা,"অই পোয়া ইভার গাত বোম মাইরলু অথচ কিছুই নইলু,এক্সপায়ার অই গিয়ি বোমা","Someone bombed this boy, but nothing happened. The bomb has expired."
ওপারে ভাল থেকেন স্যার। বাংলাদেশ এতো ডিজিটাল হলো যে মরা মানুষ status দিতে পারে ���,অই ফারে ভালা থাইকুন স্যার। বাংলাদেশ এতো ডীজিটাল অইয়্যি দে মানুষ মরিলি দেয়া ফরে,"Take care, sir. Bangladesh has become so digital that even the dead can update their status ���"
সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়,অই ফুল্লুন অর রঙিন মেলা দেহি রিদয় বরি যা গই,He is heart filled by seeing the colorful fair of flowers
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,অই ফোয়া হনো কিচু ফুইন্তো ন চায় তার ফোয়ারে দেহা গইরতো চাই,The boy doesn't want to hear anything but wants to meet him
ওই মেয়েকে যেভাবেই হোক খুঁজে বের করতে হবে,অই মাইয়াফোয়া যেনেইওক খুজি বাইর গরন ফরিব,We must find that girl no matter what.
ওই মাগীরে বাংলাদেশ তেকে বাহির করে দেওয়া হক সমাজ নষ্ট করার জন্য এমন একটা মাগীর বাচ্চা ওই যতেস্ট,অই মাগীরে বাংলাদেশত্তুন বাইর গরি দেয়া ফরিবু সমাজ হারাপ বানাইবেল্লাই  এইল্লে উজ্ঞো মাগীর বাইচ্চে যথেষ্ট।,This person should be expelled from Bangladesh for corrupting society. What a terrible child that person is.
