Standard_Bangla,dialect_speech,English_translation
এই মাগী তোমার ভিডিও বানিয়ে করছে তুমি বলছ মাগী খানকি মিনিট চুমা চুমি করছো ইস্পট দেখ জাচ্ছে আবার বানানো ভিডিও মারাও মাগী,"
এই মাগী! তোর ভিডিও বানাই কইছে, তুই বলছ মাগী খানকি! মিনিট চুমা চুমি করছ, ইস্পট দেখা যার, আবার বানানি ভিডিও মারাস মাগী।",
এই হলো বঙ্গদেশের অবস্থা। ডিসি যদি এইরকম লুইছা হয় তাইলে দেশের কি ভবিষ্যত সালার চেহেরা শয়টানের মতন,"
এই হইলো বঙ্গদেশের অবস্থা। ডিসি যদি এইচ্ছা লুইছা হয়, তাইলে দেশের কি ভবিষ্যত? হালার চেহেরা শয়তানের লানি।",
এইসব ছোট লোকের বাচ্চা মেয়েদেরকে জুতাপিটা করা উচিত চাকরির ধান্দায় আর কত নিচে নামবে এরা,"
এইচ্ছা ছোট লোকের বাইচ্চা মাইয়াদেরকে জুতাপিটা করা উচিত। চাকরির ধান্দায় আর কত নেচে নামবে এগুন?",
উগ্র কম জ্ঞ্যানী শিক্ষক ও লজ্জার কারন।,  উগ্র আর কম জ্ঞানী শিক্ষক লজ্জার কারণ।,
Sir আপনি একুশে বই মেলায় কত তারিখ এ যাবেন ?, আমনে একুশে বই মেলাত কত তারিকে যাইবেন ?,
"sir,রা এচ্ছে করলেই এগুলো বন্ধ করতে পারে কিন্তু করেনা কারন এতে তাদের লাফ আছে।এগুলোর কারনে ছাত্র-ছাত্রীরা পড়ালেখা করে না।এগুলো বন্ধ করেন।","sir,রা ইচ্ছা ক‌ইরলেই এগুন বন্ধ ক‌ইরতো হারে কিন্তু করেনা কারন ইয়ানে এতারগো লাভ আছে।এগুনের কারনে ছাত্র-ছাত্রীরা হোয়ালেয়া করে না।এগিন বন্ধ করেন।",
অইইই খানকির পুলা তর মেয়ের পিসন দিয়া দিমু চানদি পরজন্ত থেকাইয়া হালাইমু,অই খানকিহুত  তোর মাইয়ার ফিছন দি  দিমু চানদি ফরজন্ত হোতাই হালামু।,
অই মাদার চোদ কে ফাশি চাই,অই মাদার চোদ কে ফাশি চাই।,
অই সালা কাদির সালা চোরের মত কতা বলস কেন সালা আওয়ামিলীগের দালা,"অই হালা কাদেইররা হালা চোরের মতন কতা কস কা, হালা আমিলীগের দালাল।",
হোকনা ভালো কিছুর শুরুটা এভাবেই,অকনা ভালা কিছুর শুরুটা এইখানেই,
