bangla_speech,english_speech,dialect
লকট মোর প্রিয় ফল,Jamrul is my favorite fruit,Barishal 
যত হারাহারি সম্ভব বিয়ার ব্যবস্থা গরো,Arrange marriage as soon as possible,Chittagong
যত তাড়াতাড়ি সম্ভব বিয়ার ব্যবস্থা কর,Arrange marriage as soon as possible,Mymensingh
যত তাড়াতাড়ি সম্ভব বিয়ার ব্যবস্থা করো,Arrange marriage as soon as possible,Noakhali
যত জলদি সম্ভব বিয়ার ব্যবস্থা খরো,Arrange marriage as soon as possible,Sylhet
মুই অসুস্থ মোরে একফিরও জিগায় নাই মুই ক্যামন আছি,I'm sick not once does Jigges ask me how I am,Barishal 
আজহাল ফোওয়া কি যে গরের,What is the boy doing these days?,Chittagong
আইজকাল কী যে করসে ছেড়াডা,What is the boy doing these days?,Mymensingh
আইজকাল কী যে কইরতেছে হোলাটা,What is the boy doing these days?,Noakhali
আইজকাইল কিতা যে করের ফুয়াগুয়ে!,What is the boy doing these days?,Sylhet
এইয়া লইয়া মুই সমেস্যা করি নাই,I have no problem with these,Barishal 
অনর বর বইনর কি বিয়া অই গেইয়্যুয় নে?,Is your elder sister married?,Chittagong
আপনার বড় বোইনের কিতা বিয়া হয়া গেসে ?,Is your elder sister married?,Mymensingh
আন্নের বড্ডা বইনের কি বিয়া ঐ গেছে?,Is your elder sister married?,Noakhali
আফনার বড় বইন ওর কিতা বিয়া ওই গেছে নি?,Is your elder sister married?,Sylhet
এককালে পোলার মাইয়াডারে ভালো লাগবে,Someday the boy will like the girl,Barishal 
দ্বিতীয় বিয়াত ইবাই আই কল্পনার তুন বেশি সুখি,I am happier than I could have imagined in my second marriage,Chittagong
দ্বিতীয়  বিয়াতে আমি কল্পনার চেয়েও বেশি সুখী,I am happier than I could have imagined in my second marriage,Mymensingh
দ্বিতীয় বিয়াত আই কল্পনার তুন ও বেশি সুখী,I am happier than I could have imagined in my second marriage,Noakhali
দুই নাম্বার বিয়াত আমি ভাবনার বাইরে সুখী আছি,I am happier than I could have imagined in my second marriage,Sylhet
লও একখান বিরতি লই,Let's not have a break,Barishal 
বেজ্ঞুন কবুতর  আকাশত  উড়ের,Many pigeons are flying in the sky,Chittagong
অনেকগুলা কবুতর আকাশে উড়তাসে,Many pigeons are flying in the sky,Mymensingh
মেলাগিন কবুতর আকাশে উড়েড়,Many pigeons are flying in the sky,Noakhali
অনেকগুলা কইতর  আকাশে উড়ের,Many pigeons are flying in the sky,Sylhet
হ্যায় এহন নিজের মোহে কয় তোমার লগে ফিররা সব ঠিক করতেয়াছি,He now says in his own mouth that he is fixing everything with you again,Barishal 
আই আরো একবার ভালোবাসিয়েরে ঠকি গেইলাম,I fell in love for the second time,Chittagong
আমি দ্বিতীয় বার ভালোবাইসাও ঠইক্কা গেসি,I fell in love for the second time,Mymensingh
আই দ্বিতীয় বার ভালোবাসিও ঠকি গেছি,I fell in love for the second time,Noakhali
মুই দুই নাম্বার বার ভালোবাসিয়াও ঠগি গেলাম,I fell in love for the second time,Sylhet
হ্যায় মাইয়াডার লগে যোগাযোগ করে,He interacts with the girl,Barishal 
ফোওয়া ইবার বেয়াগ হাম হজ এইল্লে এলোমেলো কিল্লাই?,Why is the boy's work so random?,Chittagong
ছেড়াডার বেগ কাম এমন এলোমেলো হইতাসে কেন?,Why is the boy's work so random?,Mymensingh
হোলাগার বেক কাম এরুম এলোমেলো  অইতেছে কিল্লেই?,Why is the boy's work so random?,Noakhali
ফুয়াগুর হকল কাম ওলা উলটপালট ওইরো কিতার লাগি?,Why is the boy's work so random?,Sylhet
মোর কোলো সোভিয়েত দেশ ভালো লাগতো,But I liked the Soviet country,Barishal 
দুই গন্টা দরি কাআরন ন যায়,There was no electricity for two hours,Chittagong
দুই ঘন্টা ধইর বিদ্যুৎ যায়নাই,There was no electricity for two hours,Mymensingh
দুই ঘন্টা ধরি কারোন যায়নো,There was no electricity for two hours,Noakhali
  দুই ঘন্টা ধরি বিদ্যুৎ যার না,There was no electricity for two hours,Sylhet
আমনে কি খামারের পশু পছন্দ করেন?,Do you like farm animals?,Barishal 
অনে কি ফ্রশ্ন ইবার জবাব দিত ফারিবান নে?,Can you answer this question?,Chittagong
আফনে কি এই প্রশ্নের জবাব দিতে ফারবাইন?,Can you answer this question?,Mymensingh
আন্নে কি এ প্রশ্নের জবাব দিতে হ্যাইরবেন?,Can you answer this question?,Noakhali
আফনে কিতা ওউ প্রশ্ন'র জবাব দিতা ফারবা নি?,Can you answer this question?,Sylhet
এইরাম চলে যাবে সময় তয় থাকবে এইসব কিছু গান,Time will pass like this but these songs will remain,Barishal 
মার ইন্তেকালোর ফোর খুব এহলা অইগিয়ে,"After the death of the mother, the father became very lonely",Chittagong
মা মইরা যাওনের পর আব্বা খুব একা হয়া গেসে,"After the death of the mother, the father became very lonely",Mymensingh
মা মরি যাওনের হর বাপে খুব একলা অই গেছে,"After the death of the mother, the father became very lonely",Noakhali
 আম্মা মুরা ফরে আব্বা খুব এখলা অই গেছলা,"After the death of the mother, the father became very lonely",Sylhet
এহন নানার বাড়িই থাহি,Now I live at my grandmother's house,Barishal 
বেজ্ঞুনর তুন বিদায় লইর,Farewell to everyone,Chittagong
বেজ্ঞের কাস থাইক্কা বিদায় নিতাসি,Farewell to everyone,Mymensingh
বেগ্গুনের কাছ তুন বিদাই লইয়ের,Farewell to everyone,Noakhali
হকল ওর কাছ তনে বিদায় লইয়ার,Farewell to everyone,Sylhet
মোর বয়স উনিশ বছর,I am nineteen years old,Barishal 
 খাবারত আরেক্কানা রসুন দিলি বেশি মজা অইতো,A little more garlic in the food would have been more fun,Chittagong
খাওনে আরেকটু রসুন দিলে বেশী মজা হইত,A little more garlic in the food would have been more fun,Mymensingh
খাওনের মইধ্যে রসুন আরেক্কানা বাড়াই দিলে খাওন বেশি স্বাদ অইলো ও ,A little more garlic in the food would have been more fun,Noakhali
খানিত থুরা রসুন বাড়াইয়া দিলে আরো মজা ওইতো,A little more garlic in the food would have been more fun,Sylhet
"টমাটুর বাজারে যেই আগুন, সাধারণ মানের ধারে হেইয়া এহন আর নতুন কোনো খবর না",The fire in the tomato market is not a new news to the common man,Barishal 
ওকএনা বালা কিচুর শুরু য়ান এনগরি,This is how good things start,Chittagong
হোকনা ভাল কিসুর শুরুডা এম্নেই,This is how good things start,Mymensingh
অকনা ভালা কিছুর শুরুটা এইখানেই,This is how good things start,Noakhali
 অউক না ভালা কুন্তার শুরু অলাউ,This is how good things start,Sylhet
বিয়ার পর মোডা হইবে এমন স্বপ্ন লইয়া বাইচ্চা রইছে হাজারো হুগনা মাইয়া,Thousands of thin girls live with the dream of becoming fat after marriage,Barishal 
ইয়ানত কিছু এক্কান লেহের,What are the pieces with the pen,Chittagong
ওইহানে কলম দিয়া কীসব টুইক্কা রাখসে,What are the pieces with the pen,Mymensingh
হিয়ানো কলম দি কীসব টুই রাইখছে,What are the pieces with the pen,Noakhali
হনো কলম দিয়া কিতা জানি লেখিয়া রাখের,What are the pieces with the pen,Sylhet
নানা রহমের ফুল থরে থরে সাজাইন্না রইছে,Various flowers are arranged in rows,Barishal 
এহন যদি তুঁই গান গ তইলে চাষি ফুনিবো,"Now if you sing, the farmer will hear",Chittagong
এহন যদি তুমি গান গাও তাইলে চাষী হুনতে পাইব,"Now if you sing, the farmer will hear",Mymensingh
অন যদি তুুই গান গাস চাইলে চাইষ্যা হুনত্বে হাইর বো,"Now if you sing, the farmer will hear",Noakhali
ওখন যদি তুমিতাইন গান গাও তে চাষিয়ে হুনতে ফারবো,"Now if you sing, the farmer will hear",Sylhet
বইষ্যার লইজ্ঞা ঢাকায় কোনহানে নামাজ পড়া হইবে?,Will there be any prayer for rain in Dhaka?,Barishal 
আর তো মনে হদ্দে বেডি ওক্কলের বউত ডেট গরা উচিত,I think girls should have multiple dates,Chittagong
আমার তো মনে হয় মাইয়ারার একাধিক ডেট করন উচিত,I think girls should have multiple dates,Mymensingh
আর তো মনে অয় মাইয়াগো ওকগার বেশি ডেট করন উচিত,I think girls should have multiple dates,Noakhali
আমার তো লাগে ফুরিন্তোর বউট্টি ডেট করা উচিত,I think girls should have multiple dates,Sylhet
হ্যার ধারে ম্যালা দেশের টাহা আছে,He has the money of many countries,Barishal 
আম্মু আরে আর বাইরে ডর হইজ্জে বোত কষ্টত,My mother is raising me and my brother very hard,Chittagong
আম্মাই আমারে আর ভাইরে বড় করসে মেলা কষ্ট কইরা,My mother is raising me and my brother very hard,Mymensingh
মাই আরে আর ভাইরে বড় কইরছে অনেক কষ্ট করি,My mother is raising me and my brother very hard,Noakhali
আম্মায় আমারে আর ভাইরে বউত কষ্ট করি বড় করছোইন,My mother is raising me and my brother very hard,Sylhet
আমাজন নদী দুনিয়ার সবচাইয়া বড় নদী হিসাবে পরিচিত,Amazon River is known as the largest river in the world,Barishal 
এক ফর্যায়ে আবারো বাড়িত জানানো অইয়ে,At one point it was reported to the house again,Chittagong
এক পর্যায়ে আবারো বাড়িত জানানো হয়,At one point it was reported to the house again,Mymensingh
এক হর্যায়ে আবারো বাড়িত জানানো হয়,At one point it was reported to the house again,Noakhali
এখ পর্যায়ে আরখবার বাড়িত জানানি অইছিল,At one point it was reported to the house again,Sylhet
যে কেউ মোরে এক দেহা তে পছন্দ করবে,Anyone would love to meet me,Barishal 
তুঁই নেই এই কটিন সইত্যইয়ান আঁই আইযো বিশ্বাস গরিত ন ফারির,I still can't believe the hard truth that you are gone,Chittagong
তুমি নাই এই কঠিন সত্যিডা আমি আইজও বিশ্বাস করতে পারতাসি না,I still can't believe the hard truth that you are gone,Mymensingh
তুমি যে নেই এই সত্যি এইন আই বিশ্বাস করতে পারতেছি না,I still can't believe the hard truth that you are gone,Noakhali
তুমি নাই অউ কঠিন সত্তিটা মুই এবোধরি বিশ্বাস খরতাম ফারিয়ার না,I still can't believe the hard truth that you are gone,Sylhet
হ্যারা দুইজন ফিররা নিউজিল্যান্ড ফেরত যাইবে,They will both return to New Zealand,Barishal 
আগে আর ফোয়ারিত দেহা গইত্তো,He met me earlier,Chittagong
