Standard_Bangla,dialect_speech,English_translation
এই মাগী তোমার ভিডিও বানিয়ে করছে তুমি বলছ মাগী খানকি মিনিট চুমা চুমি করছো ইস্পট দেখ জাচ্ছে আবার বানানো ভিডিও মারাও মাগী,"এই মাগী! তোর ভিডিও বানাই কইছে, তুই বলছ মাগী খানকি! মিনিট চুমা চুমি করছ, ইস্পট দেখা যার, আবার বানানি ভিডিও মারাস মাগী।","This woman is making videos of you, you say she's a bitch and you're kissing her for minutes, showing off spots, and making more videos of her. (This translation reflects the highly offensive and vulgar nature of the original text.)"
এই হলো বঙ্গদেশের অবস্থা। ডিসি যদি এইরকম লুইছা হয় তাইলে দেশের কি ভবিষ্যত সালার চেহেরা শয়টানের মতন,"এই হইলো বঙ্গদেশের অবস্থা। ডিসি যদি এইচ্ছা লুইছা হয়, তাইলে দেশের কি ভবিষ্যত? হালার চেহেরা শয়তানের লানি।","This is the state of Bengal. If the DCs (District Magistrates) are like this, what will be the future face of the country? It's like the face of a devil."
এইসব ছোট লোকের বাচ্চা মেয়েদেরকে জুতাপিটা করা উচিত চাকরির ধান্দায় আর কত নিচে নামবে এরা,এইচ্ছা ছোট লোকের বাইচ্চা মাইয়াদেরকে জুতাপিটা করা উচিত। চাকরির ধান্দায় আর কত নেচে নামবে এগুন?,"These girls, children of small-time people, should be beaten with shoes. How much lower will they stoop in their pursuit of jobs?"
"দেখে প্রাণটা জুড়িয়ে গেল।
বেঁচে থাকুক মানবতা আজীবন।",দেইখা প্রাণটা জুড়াই গেল আজীবন বাঁচুক মানবতা,"Seeing it, my heart felt refreshed. May humanity live forever."
"আবার দাম বৃদ্ধি, দেশের মানুষ কি করবে?
 ।","আবার দাম বাড়ছে, দেশের মানুষ কী করবো?”","Another price increase, what will the people of the country do?"
"আমলার পকেট ভারী
 কমলার পকেট করে খালি","আমলাগো পকেট ভরতি কমলার পকেট করে খালি""","The mango's pocket is getting heavy,
the orange's pocket is becoming empty."
"উচিৎ শিক্ষা হয়েছে
আর কখনো ধর্ম নিয়ে বাজে কথা বলতে সাহস পাবে না",উচিত শিক্ষা অইছে; আর ধর্ম নিয়া বাজে কথা কইতে সাহস পাইবো না।”,You have received a proper lesson. You will not dare to speak ill of religion again.
"এই অবস্থা মেনে নেওয়া যায় না।
দায় কার যবাব চাই","এই অবস্থা মানা যায় না দায় কার, জবাব চাই।”",This situation is unacceptable. Accountability is demanded.
"একজন দিনমজুরের ১ দিনে ৩০০ টাকা তো ১কেজি ১৬৮ টাকার তেলের কাছে অনেক বেশি ,,,
 একবারে ৩০০ করে দেওয়া হোক,,,","একজন দিনমজুরের দিনে ৩০০ টাকা, ১৬৮ টাকার তেলের কাছে অনেক বেশি একেবারে ৩০০ কইরা দেন।”","Three hundred taka for a day's wage for a day laborer is a lot compared to 1 kg of oil costing 168 taka... Let it be paid in one go, 300 taka at a time."
"কিছু লোক ধর্মের কথা বলে বলে ছল চাতুরী শিখছে,
মিথ্যা কথা শিখছে, মানুষের জীবন নষ্ট করছে,
এরা মানুষ হবে কবে","কিছু লোক ধর্ম নিয়া ছল-চাতুরি শেখে, মিথ্যা শেখে, মানুষের জীবন নষ্ট করে এরা কবে মানুষ অইবো?”","Some people are learning deceit and trickery in the name of religion, learning lies, and ruining people's lives. When will these people become truly human?"
"খুব এলার্জি না?
নিরাপরাধ মানুষটা জামিন পেয়েছে বলে তোর চুল্কানি শুরু হয়ে গেছে",খুব এলার্জি নাকি? নিরপরাধ মানুষ জামিন পাইছে কইরা চুলকানি ধরছে!”,Aren't you very allergic? It seems your itching has started just because the innocent person got bail.
"চোখ বুজে থাকবে
 হা করে গিলবে++","চোখ বন্ধ কইরা থাকবো, হা কইরা গিলবো।”","Will remain with eyes closed,
Will swallow gaping++"
"ছি ছি ছি::::
আপনার মুখে এই কথা.......
লজ্জা পেলাম।।।।।",ছি ছি ছি… আপনার মুখে এই কথা লজ্জা লাগছে।”,"Tsk tsk tsk::::
These words from your mouth…
I am ashamed.||||"
"ডিজিটাল বাংলাদেশ প্রতি কেজি তৈল মাএ
 ১৭০ টাকা",ডিজিটাল বাংলাদেশ প্রতি কেজি তেল মাত্র ১৭০ টাকা”,Digital Bangladesh: Only 170 Taka per kg of oil.
"তেল ছাড়া ১০ প্রকার রান্না জানি
 সমস্যা হবে না আপনারা চালিয়ে যান","তেল ছাড়া ১০ রকম রান্না জানি, সমস্যা নাই আপনারা চালাইয়া যান।”","I know 10 recipes without using oil. No problem, you can proceed."
