Standard_Bangla,English_translation
আমি ভাত খাবো না রাগ করছি আমার মনে জ্বালা,"I won't eat rice, I'm angry and my heart is burning."
একদিন বুড়ি চিন্তা করল তার মুরগি,One day the old woman thought about her hen.
আমি যে খেতে দেই যদি,If I feed it...
সে একটা করে ডিম দেয়,It lays one egg at a time.
তার খাবার দিলে বেশি করে ডিম দিবে,Give him more eggs with his food.
আর আমার বেশি টাকা ঘরে আসবে,And more money will come into my house.
বুড়ি মুরগির খাওয়া বেশি করে দেয়,The old hen feeds a lot.
মুরগি বেশি খাবার খেয়ে বেশি করে ডিম দেয়,Hens lay more eggs when they eat more food.
কিন্তু পরের দিন আর ডিম দেয় না,"But the next day, it doesn't lay any eggs."
আবার ডিম দিয়েছে মুরগি,The hen has laid an egg again.
মুরগি একটি করে ডিম দিতে লাগে,It takes one day for a hen to lay an egg.
সে ডিম দেওয়া বন্ধ করে দেয়,She stopped laying eggs.
একটা বড় ব্যবসায়ী ছিল,There was a big businessman.
তার ছিল অনেক ধন সম্পত্তি,He/She had a lot of wealth and property.
তার একটা বড় কুকুর ছিল,He/She had a big dog.
দুইটি ভাই অনেক বছর বড়,The two brothers have grown up a lot over the years.
বয়স যখন বেশি,When one is old
আর তখন থেকে দেখা করে আর লেখাপড়া খরচ দেয়,"And from then on, he/she started visiting and paid for my education expenses."
এখন অনেক বড় একটা বাড়ি,Now there is a very big house.
আর কথা বলার সুযোগ দেয় না,It doesn't allow for further conversation.
তাকে নিয়ে চলে আসে,He/She brings him/her along.
অনেক ভয় পেয়েছে বুঝা যাচ্ছে,It seems you are very scared.
ভয়ে কিছু করতে যেতে চায় না,He/She doesn't want to do anything out of fear.
এসব দেখে তাকে সবাই বলল,"Seeing all this, everyone told him."
না আপনি যাবেন না,"No, you will not go."
আমি আর করবো না আজকে কিছু,I won't do anything more today.
তারা আবার আসবে,They will come again.
আর আমাকে সাথে করে নিয়ে যাবে,And you will take me with you.
তুই আমাকে কি দিতে পারবি,What can you give me?
সে জন্য ওকে সুযোগ করে দিতে চাই,That's why I want to give him/her a chance.
তোরা তো বুঝিস সব,You all understand everything.
কি ভুল বলছি বলবেন,Tell me if I'm saying anything wrong.
তোকে কেন যেতে দিবে বল তো,"Tell me, why should I let you go?"
তোর কষ্ট হবে শাড়ি পড়ে,You will feel discomfort wearing a saree.
তাই বলছি সব করে নিতে,"So, I'm saying do everything you need to do."
আচ্ছা তুই কাজ করে শেষ কর,"Alright, finish your work."
কথায় একবারে বলছি,I'm telling you once and for all.
পিছনে ঘুরে বসে সবাই,Everyone turned around and sat down.
রেখে এসেছে এখন যেতে হবে,"Left behind, now I must go."
তাকে নিয়ে বলল আমাকে যেতে হবে,He/She told me I have to go with him/her.
তোমাদের এখন যেতে হবে,You must leave now.
তোমাদের বাড়িতে কি মেহমান এসেছে,Have any guests come to your house?
মেহমান খুঁজে আমাকে,Find me a guest.
বাবা মা এসে আমাকে নিয়ে যাক,Please let my parents come and take me.
নিয়ে যাক তাহলে ভাল হবে,"Let's go then, that would be good."
রাগ করেছে কেন,Why are you angry?
