Chittagong,Noakhali,Sylhet,Mymenshingh,Target,anger,contempt,disgust,enjoyment,fear,sadness,surprise
নিউ মার্কেট অর সংঘর্ষর ঘটনা ইয়ানরেও রাজনৈতিক রূপ দেওয়ন অর লাই সরকাররে অভিনন্দন।বিম্পির নেতাহর্মী বেয়াজ্ঞুন আসামি।,নিউ মার্কেটে হিডাহিডির ঘটনা রে রাজনৈতিক রূপ দিবার লাই সরকারে অভিনন্দন। বিএনপির নেতাকর্মী বেজ্ঞুন আসামি ।,"""নিউ মার্কেট মারামারির ঘটনারে রাজনৈতিক রুপ দেয়ার লাগি সরকাররে অভিনন্দন। বিএনপির নেতাকর্মী হক্কলে আসামি।""",নিউ মার্কেট সংঘর্ষের গটনাডারে ও রাজনৈতিক রুপ দেঊয়ায় সরকাররে অভিনন্দন। বিএনপির নেতাকর্মী বেহেই আসামি।,Political,1,1,0,0,0,0,0
এনগরি আইনর শাষন প্রতিষ্ঠা গরন দে?,এরুম করি নি আইনের শাসন প্রতিষ্ঠা করেন?,ওলাও আইনর শাষন প্রতিষ্ঠা কররা?,এমনে আইনের শাসন প্রতিষ্ঠা করুইন?,Political,0,1,1,0,0,0,0
আর হঁদিন নাটক তোরা গরিবি,আর ক দিন তোরা নাটক করবি?,আর খত নাটক তরা করতে,আর কত নাটক তরা করবি,Neutral,1,0,1,0,0,0,0
শোষিত মানুষজন ইয়ান ই আশা গইরগিল দে!!!,শোষিত মানুষজন এগিন আসা কইচ্ছিলো!!!,শোষিত জনগন কিতা অখটাও আশা করছিল!!!,শোষিত মাইনসে এইডাই আশা করেছিন!!!,Political,1,0,1,0,0,0,0
"বাংলাদেশ ইয়ান গোডা এক বিনোদন, এই দেশ বলি হতা!",বাংলাদেশ বেইজ্ঞা এক্কান বিনোদন। এই দেশ বলি কতা!,"বাংলাদেশ আস্তাটাও একটা বিনোদন, এই দেশে বলিয়া কথা","বাংলাদেশ টা বেক্টাই একটা বিনোদন, এই দেশে বলে কতা",Neutral,0,1,1,0,0,0,0
এন্ডিক্কা দেশ হনোমিক্কা তোঁয়াই ফাঁইবা না তুঁই?,এরুম দেশ কতুন টোগাই হাবি তুঁই!,ওলা দেশ কোথাও খুঁজিয়া পাইবায়নি তুমি!,এরুম দেশটা কুনুহানে খুইজ্জা পাইবা কি তুমি!,Neutral,0,1,0,0,0,0,0
গম লাইজ্ঞে,মজা হাইচি,মজা লাগলো।,মজা লাগলো,Neutral,0,1,0,1,0,0,0
ইয়ানরে হঁদে সাইন্স,ইয়ানরে কয় সাইন্স,ওটাও সায়েন্স,এইডারেউ কয় সাইন্স,Neutral,0,1,0,0,0,0,0
বিএনপির নাম ন দিলে হাঁউজ্জানি অইবো।,বিএনপির নাম না দিলে খাইজ্জানি ওইবো,বিএনপির নাম না দিলে চুলকানি হইবো।,বিএনপির নাম না দিলে চুলকানি অইব,Political,0,1,1,0,0,0,0
আল্লাহ ইতারার বিচার গরিবো। আহাঁম গইল্লো ছাত্রলীগ। আর মামলা দেদ্দে বিএনপির নামে।,আল্লাহ এগুনের বিচার কইরবো। আকাম কইল্লো ছাত্রলীগের লীগ। আর মামলা দের বিএনপির নামে।,আল্লাহ এরার বিচার করবা। আকাম করল ছাত্রলীগর লীগ। আর মামলা দেয় বি এন পির নামে।,আল্লাহ অগর বিচার করব। আকাম করল ছাত্রলীগের লীগ। আর মামলা দেয় বি এন পির নামে।,Political,1,1,1,0,0,0,0
মানুষ জানে আসামী হন বিএনপির,মানুষ জানে আসামি কুনগুন বিএনপির,মাইনষে জানে আসামী কারা বিএনপির,মাইনসে জানে আসামী কেডাঅও বিএনপির,Political,0,0,1,0,0,0,0
ইয়ান ই জাতি হুঁউনতো চাইলদে অঁনরার হাঁছে,ইয়ান এ জাতি হুইনতো চাইচিলো আন্নেগোতুন,ওটাই জাতি হুনতে চাইছিল আপনারার কাছে,এডাই জাতি হুনবার চাইছিন আম্নেগর কাছে।,Political,1,1,0,0,0,0,0
জামাত তইলে এইবার বাদ গেইয়্যে,জামাত তাইলে এবার বাদ গেচে।।।,জামাত তাইলে ওখন বাদ,জামাত তাইলে এইবার বাদ গেলো।,Political,0,1,0,0,0,0,0
এই রমজানত ও এন্ডিক্কা মিছা হতা! আল্লাহ অঁনে ইতারার বিচার গরন,এই রমজানেও এরুম মিচা কতা!! আল্লাহ আন্নে এগুনের বিচার করিয়েন,এই রমজানে ওলা মিথ্যাচার!!আল্লাহ আপনে এরার বিচার করুক্কা।,এই রমজানে ও এইরুম মছাকতা!! আল্লাহ আম্নে এগর বিচার করুইন।,Religious,1,0,1,0,0,0,0
বাহ! এডেও বিরোধী দলর আঁত আছে! এত্তর ডঁঅর এক্কান ঘটনাত বিএনপিরে ন জড়াইবো ইয়ান সম্ভব নাকি,বাহ!! ইয়ানেও বিরোধী দলের আত আচে!! এত বড় এক্কান ঘটনায় বিএনপিরে জরান ওইতোনো এটা কি সম্ভব নি।,বাহ! অইখানেও বিরোধী দলের আত আছে!! অতো বড় একটা ঘটনাত বিএনপি রে জরানো অইত না ঔটা কিতা সম্ভব নাকিতা,বাহ!! এইনেও বিরোধী দলের আত আছে!!অতো বড় একটা গডনায় বিএনপি রে জরানি অইতো না এডা কি সম্ভব নাকি।,Political,1,1,1,0,0,0,0
"অঁয়,বেজ্ঞুন বিএনপি। মশা মাছি মইল্লেও আর কিছুদিন বাদে হইবো দে বিএনপি মাইরগে বলি",এ্যা বেজ্ঞিন খালি বিএনফি। মোশা মাচি মরি গেলে কদিন হরে কইবো বিএনফি মাইচ্ছে,অয় সবতাতই বিএনপি। মশা মাছি মইরা গেলেগাও আর কয়দিন পরে কইব বিএনপি মারছে,হ সবি বিএনপি।মশা মাছি মইরা গেলে ও আর কয় দিন পরে কইবো বিএনপি মারছে।,Political,0,1,0,0,0,0,0
রোজাউঁয়া হালকা অঁই গেইয়ই ফাঁনলার,রোজা হাতলা ওই গেছে লাগে যেন,রুজাডা হালকা অইয়া গেছেগা মনে অয়।,রোজাডা হালকা হয়া গেল মনে অয়,Religious,0,1,0,0,0,0,0
এন্ডিক্কাই ফাঁরে এই অবৈধ সরকার। মরা মাইনষরে আসামী গরিয়েরে আবার মরা মাইনষে ভোট দেয়। বেজ্ঞিন এই সরকারর আমলত সম্ভব,এগিনই হারে এ অবৈদ সরকারে। মরা মাইনষেরে আসামি বানায় আবার মারা মাইনষে বোটো দেয়। এ সরকারের আমলে বেজ্ঞিন সম্বব,ঔটাই পারে অই অবোধ সরকার। মরা মানুষরে আসামি করে আবার মরা মানুষে ভুট দেয়। হগলতাই এই সরকারের আমলও সম্ভব,এরুমডাই পারে এই অসোদা সরকার। মরা মাইনসেরে আসামি করে আবার মরা মাইনসে ভোট দেয়।সব এই সরকারের আমলে সম্ভব।,Political,0,1,1,0,0,0,0
সন্ত্রাসী দল ভিম্পি দেশর শান্তি নষ্ট গরিবাল্লাই ন গরেদে এন হনো হাঁজ নাই,সন্ত্রাসী দল বিএনপি দ্যাশের শান্তি নষ্ট কইরবার লাই এমন কোনো কাম নাই যেগিন করে ন,সন্ত্রাসী বিএনপি দেশওর শান্তি নষ্ট করবার লাগি এমন কোন কাম নাই যে করছে না।,সন্ত্রাসী দল ভিম্পি দেশের শান্তি বিনষ্ট করতে হেন কাজ নাই যা করে না,Political,1,0,1,0,0,0,0
ইন বেজ্ঞুনে জানে আসামী বিএনপির নেতা অঁলে অইবো সিসিটিভি ফুটেজত কি আর আইয়ে যায়,এগিন বেকে জানে যে আসামী বিএনফি ই অইবো সিসিটিবি ফুটেজ এগিনে কিচ্ছু আইয়ে যায় না,ঔটা হগলই জানে আসামী বিএনপি নেতারাই অইব সিসিটিভি ফুটেযে কিতা আর আয় যায়।,এডা বেহেই জানে আসামী বি এন পি নেতারাই অইব সিসিটিভি ফুটেজে  কি আর আয়ে যায়।,Political,0,1,1,0,0,0,0
ইন আঁরা আগদি অইতে জানি মামলা বিএনপির নামত অইবো দে,আমরা এডা আগের তুনএ জানি মামলা যে বিএনফির নামেই অইবো,"ঔটা আমি আগেই জানতাম, মামলাডা অইব বিএনপির নামে।",এইডা আমরা আগেত্তেই জানি মামলা অইবো বিএনপির নামে,Political,0,1,0,0,0,0,0
আঁরা আগদি অইতে জাইনতাম ১৩ বছরর অভিজ্ঞতা,আমরা বেকে আগের তুনএ জাইন্তাম ১৩ বচরের অবিজ্ঞতা,"আগেই জানতাম,  ১৩ বছরের অভিজ্ঞতা",আমরা আগেই জানতাম ১৩ বছরের অভিজ্ঞতা।,Neutral,0,1,0,0,0,0,0
দিন শেষে দেহা যাইবো দে জিয়া পরিবার জড়িত,লাষ্টে দি দে জাইবো জিয়া ফরিবারএ জড়িত আচিলো,"দিন শেষে দেখবায়, জিয়ার পরিবার অই জরাইল","বেইন্না শেষে দেহা যাইব,জিয়া পরিবার জরিত",Political,0,0,1,0,0,0,0
আঁত্তুন লাদ্দে প্রধান আসামী সাবেক রাষ্ট্রপতি জিয়াউর রহমান,অ্যাঁর লাগে যেন ফ্রদান আসামী সাবেক রাষ্ট্রপতি জিয়াউর রহমান ।,"মনে অইতাছে, আসল আসামি অইল সাবেক প্রেসিডেন্ট ভিউয়ার রহমান",আমার মনে অইতেছে প্রধান আসামী সাবেক রাষ্ট্রপতি জিয়াউর রহমান ।,Political,0,1,0,0,0,0,0
"জিয়াউর রহমান এক নম্বর আসামী অইলে জাতি আরো বেশি বিনোদন ফাঁইতো, জাতির বিনোদনত ঘাঁটতি গরিবাল্লাই বলি কতৃপক্ষরে হামাক্কা দঁরোমরো জবাবদিহি গরা ফরিবো","জিয়াউর রহমান এক লম্বর আসামি ওইলে জাতি আরো ম্যালা বিনোদন হাইতো, জাতির বিনোদনে টান হড়নের লাই কতৃফক্ষরে কঠিন জবাবদিহি কইত্ত ওইবো !","জিয়াউর রহমান যদি এক নাম্বার আসামি অইত তাইলে আরও মজা অইত, জাতির বিনোদনও ঘাটতি ঘডাইবার লাইগগা কর্তৃপক্ষ রে অবশ্যই কঠিন জবাবদিহি করতে অইব","জিয়াউর রহমান এক নম্বর আসামি অইলে জাতি আরো বেশি বিনুদুন পাইতো, জাতির বিনুদুনে গাটতি গডানির লাইগ্গা কতৃপক্ষরে অবশ্যই কঠিন জবাবদিহি করুন লাগবো...!",Political,1,1,0,0,0,0,0
বাংলাদেশর গোয়ান্দা অক্কল কি ট্যালেন্ট,বাংলাদেশের গোয়েন্দাগো বহুত ট্যালেন্ট!!!,বাংলাদেশওর গোয়েন্দারার কি ট্যালেন্ট।,বাংলাদেশের গোয়েন্দারা কী ট্যালেন্ট!!!,Neutral,0,1,0,0,0,0,0
আঁলার রাজনীতি আর হঁদিইন উপায়ে তোরা গরিবি গর । শেষ ইয়ান চাইবার অপেক্ষা,হালার রাজনীতি। চাই আর কত রকম করি রাজনীতি কইত্তি হারছ কর। শেষে কি ওয় খালি হিয়ান চামু,.হালার রাজনীতি রে! আর কত ফন্দি বাইর করব রাজনীতি করনের লাইগগা। শেষটা দেখনের অপেক্ষাত রইছি,সালা রাজনীতি। আর কত উফায়ে তরা রাজনীতি করবি কর। শেষটা দেহার অফেক্ষা।,Political,1,0,1,0,0,0,0
জিয়াউর রহমান জড়িত থাঁইত ফারে,জািয়াউর রহমান এটার বিত্রে থাইকতো হারে,জিয়াউর রহমান জরাইল থাকত পারে,জিয়াউর রহমান জড়িত থাকবার পারে।,Political,0,1,0,0,0,0,0
বিএনপিরে জড়াইবার মানে অইলদে মামলার গুরুত্ব হালগা গরি দঁঅন,বিএনপিিরে এটার বিত্রে আনোন মানি মামলার ওজন কমি যান,বিএনপি রে জরানোর মানে অইল মামলার গুরুত্ব হালকা কইরা দেওন।,বিএনপিরে জড়ানির অর্থ অইলো মামলার গুরুত্ব হালকা কইরা দেওয়া।,Political,0,1,0,0,0,0,0
