Standard_Bangla,dialect_speech,English_translation
 আমার খিদে পেয়েছে, আমার খিদা পাইসে,I'm hungry
 তোমাকে একটা উপহার দিতে চাই, তোমারে একটা উপহার দিতাম চাই,I want to give you a gift
"নোংরা রাজনীতি, ঘৃণা করি"," নোংরা রাজনীতি, ঘৃণা করি",
 বড়ো বোন কিছু পেয়ারা কিনল, বড় বইন কিসু পেয়ারা কিনল,Elder sister bought some guavas
 বড়ো বোনের জন্য কিছু পেয়ারা কিনল, বড় বইনের লাইজ্ঞা কিসু পেয়ারা কিনল,Bought some guavas for elder sister
 লক্ষ্য ঠিক করে আমরা জীবনে এগিয়ে যেতে পারি, লক্ষ্য ঠিক কইরা আমরা জীবনে আগায়া যাইতাম পারি,By setting goals we can move forward in life
 সামনে কোরবানি ঈদ আসছে, সামনে কোরবানি ঈদ আইতাসে,Eid al-Adha is coming
!ব্যাবসায়ী মাদার** কতো খারাপ যে বিশেষ করে ঢাকার এগুলো হয়তো আমরা সবাই কম বেশি ভুক্তভোগীর স্বীকার !,!ব্যাবসায়ী মাদার** কতো খারাপ যে বিশেষ কইরা ঢাকার এইডি হয়তো আমরা সবাই কম বেশি ভুক্তভোগীর স্বীকার !,
"অভশেশে টোকাই সাংবাদিক গোষ্ঠী আসল খবর ফাস করলো ইহা বিম্পির কাজ""""
বিম্পি একরাত এইরকম কাম করতে পারলেই তো ক্ষমতায় বসতে পারতো","""অভশেশে টোকাই সাংবাদিক গোষ্ঠী আসল খবর ফাস করলো ইহা বিম্পির কাজ""""""""বিম্পি একরাইত এইরুম কাম করবার পাইলেই তো ক্ষমতায় বইতে পারতো""",
"আবার দাম বৃদ্ধি, দেশের মানুষ কি করবে?
 ।","""আবার দাম বাড়ছে—দেশের মাইনসে কি করবো?!""",
"আমরা দেশের উন্নয়ন চাই না,
 আমরা পরিবারের উন্নয়ন চাই","""আমরা দেশের উন্নয়ন চাই না, আমরা পরিবারের উন্নয়ন চাই""",
"আসলে কি হচ্ছে?
 কোথায় ধাবিত হচ্ছি আমরা।
 পেয়াজের কাজ না হয় মূলা দিয়ে সারানো যায় 
 তেলের কাজ তো আর পানি দিয়ে হয় না","""আসলে কি হইতাছে ?কোইনে ধাবিত হইতাছি আমরা।পেয়াজের কাজ না হয় মূলা দিয়ে সারানি যায় তেলের কাম তো আর পানি দিয়া হয় না""",
"এটাই হবার কথা ছিলো!
কোনো কোনো ছাত্র নামক বাদাইম্মা বলছিলো এখানে রাজনীতি ছিলোনা,এটা ছিলো সাধারণ জনগণের পক্ষে ছাত্রদের আন্দোলন। অথচ স্পষ্ট ভাবে বোঝা যাচ্ছে সব রাজনৈতিক খেলা।পুরো ঘটনার সাথে ছাত্রলীগ জড়িত হলেও মামলার প্রধান আসামি ছাত্রদলের নেতা!","""এইডাই অইবার কতা আছিন! কুনু কুনু ছাত্র নামক বাদাইম্মা কইছিলো এইনে রাজনীতি আছিন-না,এডা আছি-ন সাধারণ জনগণের পক্ষে ছাত্রদগর আন্দোলন অথচ ফকফকা কইরা বুঝা যাইতাছে বেক রাজনৈতিক খেইল।পুরা গটনার লগে ছাত্রলীগ জড়িত অইলেও মামলার প্রধান আসামি ছাত্রদলের নেতা!""",
"একক নিউজ দেখে আসছেন লজ্জিত হতে।
কেমন ডিসিয়ান আপনি আল্লাহ ভালো জানেন।","""একক নিউজ দেইক্ষা আইছুইন লজ্জিত ওইতে ।কিরুম ডিসিয়ান আমনে আল্লাহ ভালা জানে",
"কাকে বিশ্বাস করবো
কে ভাল কে খারাপ
আল্লাহ্ তুমি সত্য
তোমার হাতে ই সব ক্ষমতা","""কারে বিশ্বাস করবাম কেডা ভালা কেডা খারাপ আল্লাহ্ তুমি সত্য তোমার হাতে ই বেক ক্ষমতা""",
"চলছে লড়াই চলবে,
মুজিব বাহিনী লড়বে ৷","""চলতাছে লড়াই চলব মুজিব বাহিনী লড়ব৷""",
"চোখ বুজে থাকবে
 হা করে গিলবে++","""চোখ বুজা থাকবো… হা কইরা গিলুম++""",
"জনজীবন সত্যিই বিপর্যস্ত ।
 সাধারণ মানুষ থেকে শুরু করে সরকারি কর্মচারীরা আরো বেশি অসহায় । ২০১৫ সালে সরকার পে- স্কেল দিয়েছিল, দীর্ঘ ৭ বছরে জিনিসপত্রের দাম বেড়েছে দ্বিগুণ থেকে তিনগুণ । না, এভাবে আর চলা যায় না ।","""জনজীবন একদম বিপর্যস্ত। সাধারণ মাইনসে থেইকা শুরু কইরা সরকারি কর্মচারী—সবাই অসহায়। ২০১৫ সালে যে পে-স্কেল দিছিল, এখন ৭ বছরে দাম বেড়েছে দুইগুণ তিনগুণ। এইভাবে আর চলবো কেমনে?""",
"ডিজিটাল বাংলাদেশ প্রতি কেজি তৈল মাএ
 ১৭০ টাকা","""ডিজিটাল বাংলাদেশ—প্রতি কেজি তেল মাত্র ১৭০ টেহা!""",
"""ঢাকা কলেজ ঢাকার ভিতর চাই না""","""ঢাকা কলেজ ঢাকার ভিত্তে চাই না""",
"তেল ছাড়া ১০ প্রকার রান্না জানি
 সমস্যা হবে না আপনারা চালিয়ে যান","""তেল ছাড়া ১০ রকম রান্না জানি। সমস্যা হইবো না—আপনারা চালাইয়া যান।""",
"দুই দিনের জন্য পুলিশ বাহিনিকে ছুটি দেওয়া হোক।

মারামারি কত করতে পারে জাতি দেখতে চাই।","""দুই দিনের লাইগগা পুলিশ বাহিনিরে ছুটি দেওয়া হোক। মারামারি কত করবার পারে জাতি দেখতে চাই।""",
"বাঁচলে বড় বড় মানুষ গুলোই বাঁচুক
 আর মরলে গরীব মানুষ গুলোই মরুক,,,,আপনাদের তো কিছু যা আসে না,,,,জুলুম চালানো হচ্চে সাধারণ মানুষের ওপর...","""বাঁচলে বড় বড় মানুষ টি বাঁচুক আর মরলে গরীব মানুষ টি মরুক,,,,আমনেগর তো কিছু যায় আয় না,,,,জুলুম চালানি হইতাছে সাধারণ মাইনসের ওপর...""",
"ভালো মন্দের বিচার না করা , হুজুগে বাঙ্গালী মুসলমান আর কতদিন ভাই?
পরিবার,সমাজ,রাষ্ট্র ধ্বংষ হওযার পর আপনার মস্তিষ্ক কাজ করবে।","""ভালামন্দের বিচার না করা , হুজুগে বাঙ্গালী মুসলমান আর কতদিন ভাই?পরিবার,সমাজ,রাষ্ট্র ধ্বংষ হওযার পর আপনার মস্তিষ্ক কাম করব।""",
"হায়রে অবস্থা দেশের!!!
 কে রক্ষা করবে আমাদের?","""হায়রে দেশের অবস্থা… কে রক্ষা করবো আমাদের?""",
