Standard_Bangla,dialect_speech,English_translation
আল্লাহ........ তেমার.....কাছে...... বিচার..... দিলাম!!,আল্লাহ তেমার কাছে বিচার দিলাম।,
কি দরকার ছিল?,কি দরকার অ্যালেহ?,What was the need?
ডাক্তার না কসাই,ডাক্তর ন কসাই,Doctor or butcher
বাড়িতে আসার সময় হয়ে গেছে,বাড়ি আওয়ার সোমায় হইয়্যা গেছে,It's time to come home
আমি আজকে কফি খাই নাই,মুই আইজ কফি খাইনাই,I haven't had coffee today
Sir আপনি একুশে বই মেলায় কত তারিখ এ যাবেন ?,Sir আমনহে একুশে বই মেলায় কত তারিখ এ যাইবেন ?,
অইইই খানকির পুলা তর মেয়ের পিসন দিয়া দিমু চানদি পরজন্ত থেকাইয়া হালাইমু,অই খানকির পুলা তর মাইয়ার পিসন দিয়া দিমু চানদি পর্যন্ত ঠেকাইয়া সালামু।,
ঐ লোকের সামনে আমি দাঁড়াতে পারবোনা,অই ব্যাডার সামনে মুই খাড়াইতে পারমু না,I can't stand in front of that man
ঐ লোক যদি আমার বোনের কোনো ক্ষতি করে,অই ব্যাডায় যদি মোর বুইনের কোন ক্ষেতি করে,If that person harms my sister
ওই মেয়েকে যেভাবেই হোক খুঁজে বের করতে হবে,অই মাইয়ারে যেমনেই হউক খুইজ্জা বাইর করতে হইবে,
অই মাদার চোদ কে ফাশি চাই,অই মাদার চোদ কে ফাশি চাই।,
সেই মুনাফেক যে অশ্লীলভাবে গালাগালি দেয়। সহিহ বুখারী হাদিস নং আল্লাহ তা‘আলা অশ্লীল এবং কটুভাষীকে অবশ্যই ঘৃণা করেন। সুনান তিরমিজী হাঃ নং ইসলামে গালিগালাজ সম্পূর্ণ নিষিদ্ধ। আর অশ্লীল গালিগালাজ মুনাফিকির একটি বৈশিষ্ট্য।,"অই মুনাফিক যেইডা অশ্লীল গালিগালাজ হরে সহিহ বুখারী হাদিসে আলহে, আল্লাহ অশ্লীল আর কটু ভাষা পছন্দ হরে না। সুনান তিরমিজী হাদিসে কইছে, ইসলামে গালি-গালাজ হারাম, অশ্লীল গালি মুনাফিকের চিহ্ন।",
অই সালা কাদির সালা চোরের মত কতা বলস কেন সালা আওয়ামিলীগের দালা,"অই হালা কাদির, চোরের মত কতা ক্যান কও? হালা আওয়ামী লীগের দালাল।",
হয়ে গিয়েছি,অইয়া গেছি,I have become
অখুশি বালো লাগে না,অখুশি ভালো লাগে না।,
গণিত তোমার কেমন লাগে?,অঙ্ক তোমার ক্যামন লাগে?,How do you like math?
অচেনা লোকের উপহার গ্রহণ করি না,অচেনা লোকের উপহার লই না,Do not accept gifts from strangers
nan,অজাত গুরাগারা কথা হনে না,The naughty kids don’t listen
ততদিনে আমি অনেক ভালোবেসে ফেলেছি ওকে,অতদিনে মুই ম্যালা ভালোবাইসসা হালাইছি অরে,By that time I fell in love with him
nan,অতিত আইছে,The guest is coming
অতিনদো দা না থাকলে আজো রানু মন্ডল রাস্তাই রাস্তাই ভিক্ষা ই করে বেড়াতে হত,অতিন দাদা না থাকলে আইজগোও রানু মন্ডল রাস্তায় রাস্তায় খয়রাতই হরে বেড়াইন্না হইতো।,
অতিন্ড দাদা ভালো লুক,অতিন্ড দাদা ভালো লোক।,
অতিন্দ্র দাদার কাজ ভালো লাগলে ভিডিওটিতে লাইক দিয়ে দেখতে থাকুন ভালো কাজ করলো কে আর লাইক চায় কে,অতিন্দ্র দাদার কাম ভালো লাগলে ভিডিওডায় লাইক দিয়া দ্যাখতে থাহেন ভালো কাম হরলোো কেডা আর লাইক চায় কেডা।,
অতিন্দ্রদার দাঁ এর জন্য অনেক অনেক ভালোবাসা,অতিন্দ্র দাদার জিন্যে একছের  ভালোবাসা।,
অতিমরায টাকার লোব থাকতে পারলেন না টাকার লোভে যদি থাকতে পার্থ তাহলে এইরাম করে একটা ইন্টারভিউ এর জন্য কত টাকা চাইতো না গরিব হয়ে বড় জায়গায় টাকার অংকটা বেশি হয় জয় এইসব গরিব মানুষের ওসব জায়গায়,অতিন্দ্রদায় টাহার লোবে থাকতে পারলেন না টাহার লোবে যদি থাকতে পারতেন হেলে এইরহম হরে এউক্কা ইন্টারভিউ এর জিন্যে কত টাহা চাইতো না গরিব হয়ে বড় জায়গায় টাহার অংকডা বেশি হয় জয় এইসব গরিব মানুের ওসব জায়গায়।,
অনেক অনেক সুন্দর সিনেমা আগের সিনেমা গুলো দেখলে অনেক ভালো লাগে এখনকার সিনেমা দেখতে ইচ্ছে করে না,"অনেক অনেক সুন্দর সিনেমা আগের সিনেমাগুলা দেখলে অনেক ভালো লাগে, এহনকার সিনেমা দেখতে ইচ্ছে হরে না।",
অনেক অপেক্ষা পর গান শুনলাম সুন্দর করিওগ্রাফিক হয়েছে,"অনেক অপেক্ষা পর গান শুনলাম, সুন্দর হরিওগ্রাফি অইছে।",
